NroConsignacion;FechaC;IdCliente;CodVendedor
15754;2016-10-04 00:00:00;280;400
15758;2016-10-04 00:00:00;322;400
15759;2016-10-04 00:00:00;510;400
15798;2016-10-04 00:00:00;549;400
16318;2016-11-10 00:00:00;2109;300
16335;2017-08-17 00:00:00;857;300
16336;2017-08-18 00:00:00;301;300
16452;2017-08-11 00:00:00;436;200
16460;2017-08-15 00:00:00;2004;200
16469;2017-08-22 00:00:00;493;200
17259;2017-08-16 00:00:00;371;100
17283;2018-02-08 00:00:00;448;100
17968;2017-08-25 00:00:00;363;500
21410;2020-01-27 00:00:00;2334;100
22330;2021-03-03 00:00:00;2434;100
22396;2021-04-15 00:00:00;2447;300
22397;2021-04-15 00:00:00;2446;300
22398;2021-04-15 00:00:00;2445;300
22551;2021-01-14 00:00:00;94;400
22552;2021-01-14 00:00:00;2198;400
22556;2021-01-14 00:00:00;308;400
22557;2021-01-14 00:00:00;342;400
22559;2021-01-14 00:00:00;596;400
22561;2021-01-14 00:00:00;789;400
22562;2021-01-15 00:00:00;315;400
22563;2021-01-15 00:00:00;217;400
22565;2021-01-15 00:00:00;218;400
22566;2021-01-15 00:00:00;638;400
22567;2021-01-15 00:00:00;43;400
22568;2021-01-15 00:00:00;290;400
22569;2021-01-15 00:00:00;30;400
22570;2021-01-15 00:00:00;223;400
22571;2021-02-17 00:00:00;80;400
22573;2021-03-02 00:00:00;215;400
22574;2021-03-31 00:00:00;830;400
22575;2021-04-07 00:00:00;942;400
22577;2021-04-07 00:00:00;773;400
22578;2021-04-07 00:00:00;759;400
22579;2021-04-07 00:00:00;971;400
22580;2021-04-07 00:00:00;758;400
22581;2021-04-09 00:00:00;910;400
22604;2021-04-14 00:00:00;1108;500
22608;2021-04-14 00:00:00;584;500
22610;2021-04-14 00:00:00;117;500
22614;2021-04-19 00:00:00;2458;700
22620;2021-06-15 00:00:00;831;500
22625;2021-06-22 00:00:00;649;500
22628;2021-06-22 00:00:00;25;500
22631;2021-06-29 00:00:00;209;500
22634;2021-06-29 00:00:00;45;500
22636;2021-06-30 00:00:00;61;500
22637;2021-06-30 00:00:00;207;500
22639;2021-07-08 00:00:00;826;500
22645;2021-07-08 00:00:00;178;500
22648;2021-07-12 00:00:00;355;500
22649;2021-07-12 00:00:00;359;500
22781;2021-06-08 00:00:00;929;200
22782;2021-06-08 00:00:00;936;200
22783;2021-06-08 00:00:00;2195;200
22787;2021-06-09 00:00:00;277;200
22790;2021-07-12 00:00:00;108;200
22791;2021-07-15 00:00:00;48;200
22793;2021-07-15 00:00:00;114;200
22959;2021-06-25 00:00:00;1045;400
22961;2021-06-30 00:00:00;404;400
22962;2021-06-30 00:00:00;246;400
22963;2021-07-02 00:00:00;818;400
22979;2021-08-05 00:00:00;1058;400
22984;2021-08-20 00:00:00;2237;400
22997;2021-11-08 00:00:00;697;700
22998;2021-11-08 00:00:00;667;700
23503;2021-04-19 00:00:00;2449;300
23504;2021-04-19 00:00:00;2450;300
23505;2021-04-19 00:00:00;2453;300
23506;2021-04-19 00:00:00;2454;300
23507;2021-04-19 00:00:00;2455;300
23508;2021-04-19 00:00:00;2456;300
23509;2021-04-19 00:00:00;2457;300
23512;2021-04-26 00:00:00;2451;300
23515;2021-04-30 00:00:00;2464;300
23525;2021-05-05 00:00:00;2468;300
23533;2021-05-14 00:00:00;2476;300
23539;2021-05-20 00:00:00;2478;300
23620;2021-07-15 00:00:00;299;200
23621;2021-07-21 00:00:00;1520;200
23622;2021-07-27 00:00:00;2408;200
23623;2021-07-27 00:00:00;851;200
23624;2021-07-28 00:00:00;555;200
23735;2022-05-13 00:00:00;2556;400
23758;2021-06-25 00:00:00;2487;300
23799;2021-09-02 00:00:00;925;300
23800;2021-09-02 00:00:00;819;300
23952;2021-07-02 00:00:00;416;100
23953;2021-08-02 00:00:00;433;100
23954;2021-08-03 00:00:00;907;100
23955;2021-08-03 00:00:00;2498;100
23956;2021-07-03 00:00:00;15;100
23959;2021-08-03 00:00:00;485;100
23960;2021-08-03 00:00:00;940;100
23961;2021-08-03 00:00:00;102;100
23964;2021-08-11 00:00:00;744;100
23966;2021-08-11 00:00:00;70;100
23967;2021-08-11 00:00:00;63;100
23968;2021-08-11 00:00:00;149;100
23970;2021-08-11 00:00:00;38;100
23971;2021-08-12 00:00:00;542;100
23973;2021-09-30 00:00:00;911;100
23979;2021-08-03 00:00:00;334;100
24001;2021-07-27 00:00:00;2493;700
24003;2021-08-03 00:00:00;2144;500
24030;2023-03-14 00:00:00;449;500
24102;2021-08-19 00:00:00;192;700
24106;2021-08-19 00:00:00;529;700
24107;2021-08-19 00:00:00;849;700
24110;2021-08-19 00:00:00;580;700
24111;2021-08-18 00:00:00;36;700
24112;2021-08-23 00:00:00;1158;300
24114;2021-08-23 00:00:00;2092;300
24115;2021-08-23 00:00:00;2094;300
24116;2021-09-22 00:00:00;2107;300
24119;2021-08-24 00:00:00;680;300
24121;2021-08-24 00:00:00;403;300
24122;2021-08-24 00:00:00;1201;300
24123;2021-08-24 00:00:00;578;300
24124;2021-08-24 00:00:00;939;300
24127;2021-08-26 00:00:00;306;700
24128;2021-08-26 00:00:00;452;700
24129;2021-08-26 00:00:00;328;700
24130;2021-08-26 00:00:00;650;700
24131;2021-08-26 00:00:00;67;700
24132;2021-08-26 00:00:00;220;700
24133;2021-08-26 00:00:00;709;700
24135;2021-08-26 00:00:00;588;700
24140;2021-08-27 00:00:00;362;700
24142;2021-08-31 00:00:00;595;300
24149;2021-11-01 00:00:00;96;700
24202;2021-09-02 00:00:00;571;300
24203;2021-09-02 00:00:00;807;300
24206;2021-09-07 00:00:00;523;300
24207;2021-09-07 00:00:00;834;300
24257;2021-11-19 00:00:00;742;700
24261;2021-12-01 00:00:00;239;700
24279;2022-03-04 00:00:00;2530;700
25171;2022-01-26 00:00:00;847;300
25976;2021-07-15 00:00:00;34;200
25980;2023-03-28 00:00:00;2613;200
26010;2023-03-09 00:00:00;2607;700
26024;2023-04-17 00:00:00;2615;700
26521;2024-01-30 00:00:00;2669;100
26535;2024-08-26 00:00:00;2701;100
26544;2024-10-28 00:00:00;2713;100
26545;2024-10-28 00:00:00;2439;100
26570;2024-11-27 00:00:00;2120;100
26588;2025-09-16 00:00:00;527;700
26660;2023-08-31 00:00:00;740;700
26828;2023-09-22 00:00:00;2655;300
27068;2024-01-31 00:00:00;566;200
27569;2024-07-03 00:00:00;2691;700
28004;2024-08-09 00:00:00;130;700
28011;2024-08-20 00:00:00;591;700
28199;2024-12-13 00:00:00;136;300
28377;2025-01-20 00:00:00;854;700
28971;2025-06-30 00:00:00;2751;200
28989;2025-06-06 00:00:00;923;300
28996;2025-06-13 00:00:00;2460;300
29206;2025-08-13 00:00:00;2617;700
