NroDebitoI;TipoDebitoI;FechaDebitoI;TotalDebitoI;PorcentajeIVA;SubTotalDebitoI;TotalIVA;AlicuotaIIBB;ImportePercepIIBB;CodCliente;PorcentajeDesc;ImporteDesc;CodVendedor;FormaPago;UnidadNegocio;Cancelada;NroRemito;Cae;FechaVC;CondicionVenta
1;A;2021-07-20 00:00:00;60000.0;0.0;60000.0;0.0;0.0;0.0;387;;;500;;;False;0;;2021-07-20 00:00:00;Contado
2;A;2021-09-16 00:00:00;25000.0;0.0;25000.0;0.0;0.0;0.0;632;;;100;;;False;0;;2021-09-16 00:00:00;Contado
3;A;2021-09-20 00:00:00;44977.3;0.0;44977.3;0.0;0.0;0.0;2128;;;300;;;False;0;;2021-09-20 00:00:00;Contado
4;A;2021-10-06 00:00:00;26038.74;0.0;26038.74;0.0;0.0;0.0;2128;;;300;;;False;0;;2021-10-06 00:00:00;Contado
5;A;2022-02-09 00:00:00;140023.0;0.0;140023.0;0.0;0.0;0.0;2257;;;600;;;False;0;;2022-02-09 00:00:00;Contado
6;A;2022-04-06 00:00:00;26060.0;0.0;26060.0;0.0;0.0;0.0;362;;;700;;;False;0;;2022-04-06 00:00:00;Contado
7;A;2022-05-02 00:00:00;31287.0;0.0;31287.0;0.0;0.0;0.0;1055;;;200;;;False;0;;2022-05-02 00:00:00;Contado
8;A;2022-05-13 00:00:00;62900.0;0.0;62900.0;0.0;0.0;0.0;816;;;200;;;False;0;;2022-05-13 00:00:00;Contado
9;A;2022-11-17 00:00:00;117788.4;0.0;117788.4;0.0;0.0;0.0;632;;;100;;;False;0;;2022-11-17 00:00:00;Contado
10;A;2022-12-14 00:00:00;29100.0;0.0;29100.0;0.0;0.0;0.0;2439;;;100;;;False;0;;2022-12-14 00:00:00;Contado
11;A;2022-12-22 00:00:00;180000.0;0.0;180000.0;0.0;0.0;0.0;547;;;100;;;False;0;;2022-12-22 00:00:00;Contado
12;A;2023-01-11 00:00:00;29100.0;0.0;29100.0;0.0;0.0;0.0;2439;;;100;;;False;0;;2023-01-11 00:00:00;Contado
13;A;2023-03-21 00:00:00;70000.0;0.0;70000.0;0.0;0.0;0.0;2393;;;300;;;False;0;;2023-03-21 00:00:00;Contado
14;A;2023-04-11 00:00:00;54338.75;0.0;54338.75;0.0;0.0;0.0;1055;;;200;;;False;0;;2023-04-11 00:00:00;Contado
15;A;2023-05-15 00:00:00;594.0;0.0;594.0;0.0;0.0;0.0;681;;;700;;;False;0;;2023-05-15 00:00:00;Contado
16;A;2023-05-15 00:00:00;-594.0;0.0;-594.0;0.0;0.0;0.0;681;;;700;;;False;0;;2023-05-15 00:00:00;Contado
17;A;2023-05-15 00:00:00;40000.0;0.0;40000.0;0.0;0.0;0.0;681;;;700;;;False;0;;2023-05-15 00:00:00;Contado
18;A;2023-10-10 00:00:00;250000.0;0.0;250000.0;0.0;0.0;0.0;632;;;100;;;False;0;;2023-10-10 00:00:00;Contado
19;A;2023-10-10 00:00:00;168468.4;0.0;168468.4;0.0;0.0;0.0;2144;;;500;;;False;0;;2023-10-10 00:00:00;Contado
20;A;2024-01-22 00:00:00;41992.0;0.0;41992.0;0.0;0.0;0.0;2358;;;200;;;False;0;;2024-01-22 00:00:00;Contado
21;A;2024-07-29 00:00:00;60000.0;0.0;60000.0;0.0;0.0;0.0;387;;;500;;;False;0;;2024-07-29 00:00:00;Contado
22;A;2024-07-29 00:00:00;137000.0;0.0;137000.0;0.0;0.0;0.0;362;;;700;;;False;0;;2024-07-29 00:00:00;Contado
23;A;2024-08-08 00:00:00;730000.0;0.0;730000.0;0.0;0.0;0.0;2011;;;100;;;False;0;;2024-08-08 00:00:00;Contado
24;A;2025-05-12 00:00:00;500000.0;0.0;500000.0;0.0;0.0;0.0;1055;;;200;;;False;0;;2025-05-12 00:00:00;Contado
